Part,Value,Package,Description,Part Num
C1,100n,C025-025X050,"CAPACITOR, European symbol",*
C2,100n,C025-025X050,"CAPACITOR, European symbol",*
C3,100n,C025-025X050,"CAPACITOR, European symbol",*
C4,100n,C025-025X050,"CAPACITOR, European symbol",*
C5,100n,C025-025X050,"CAPACITOR, European symbol",*
C6,100n,C025-025X050,"CAPACITOR, European symbol",*
C7,100p,C0805,"CAPACITOR, European symbol",*
C8,100p,C0805,"CAPACITOR, European symbol",*
C9,100p,C0805,"CAPACITOR, European symbol",*
C10,100p,C0805,"CAPACITOR, European symbol",*
C11,100p,C0805,"CAPACITOR, European symbol",*
C12,200p,C0805,"CAPACITOR, European symbol",*
C13,200p,C0805,"CAPACITOR, European symbol",*
C14,100p,C0805,"CAPACITOR, European symbol",*
C15,100p,C0805,"CAPACITOR, European symbol",*
C16,200p,C0805,"CAPACITOR, European symbol",*
C17,100u,CPOL-RADIAL-100UF-25V,Capacitor Polarized,*
D1,1N4148DO35-7,DO35-7,DIODE,*
D2,1N4148DO35-7,DO35-7,DIODE,*
D3,1N4148DO35-7,DO35-7,DIODE,*
FTDI_BASIC,FTDI_BASICPTH,FTDI_BASIC,FTDI Basic: 3.3V and 5V,*
IC1,P8X32A-D40,DIL40,8-Cog Multiprocessor Microcontroller,P8X32A-D40
IC2,24LC256P,DIL8,Serial EEPROM,24LC256-E/P
IC3,M74HC4078B1R,DIP254P762X510-14,8-INPUT NOR/OR GATE,M74HC4078B1R
IC4,TPS7333QP,P8_TEX,,*
OSC1,7.3728MHz,DIL08-4,CRYSTAL RESONATOR,*
PS/2,PS/2,M_DIN6,,*
R1,3k3,R0805,,*
R2,3k3,R0805,,*
R3,3k3,R0805,,*
R4,3k3,R0805,,*
R5,3k3,R0805,,*
R7,3k3,R0805,,*
R8,3k3,R0805,,*
R9,3k3,R0805,,*
R10,3k3,R0805,,*
R11,3k3,R0805,,*
R12,3k3,R0805,,*
R13,3k3,R0805,,*
R14,3k3,R0805,,*
R15,3k3,R0805,,*
R16,3k3,R0805,,*
R17,10k,R0207_7,,*
R18,100,R0207_7,,*
R19,100,R0207_7,,*
R20,10k,R0207_7,,*
R21,10k,R0207_7,,*
R22,270 1%,R0207_7,,*
R23,270 1%,R0207_7,,*
R24,560 1%,R0207_7,,*
R25,270 1%,R0207_7,,*
R26,560 1%,R0207_7,,*
R27,270 1%,R0207_7,,*
R28,560 1%,R0207_7,,*
R29,270 1%,R0207_7,,*
R30,130 1%,R0207_7,,*
R31,130 1%,R0207_7,,*
R32,130 1%,R0207_7,,*
R33,3k3,R0805,,*
R34,3k3,R0805,,*
VGA,CON-DSUB-15-VGA,181-015-212-171,NORCOMP's High Density 90Â° PC Mount D-Sub Connector,*
